artist,bondage,condom_in_mouth,flat_chastity_cage,gokkun,hand_milking,lactation,netorare,ntr,penis_milking,sex_machine,used_condom
abigcarrot_owo,1,0,0,0,0,0,0,0,0,0,0
atatame_masuka,0,0,0,0,0,1,0,0,0,0,0
b_project_18,0,0,0,0,0,1,0,0,0,0,0
bbibbo222,1,0,0,0,0,0,0,0,0,0,0
beatheart,0,0,0,0,0,0,0,0,0,0,1
beecon_(bee_niji),0,0,0,0,0,0,0,0,1,0,0
callu_jy,1,0,0,0,0,0,0,0,0,0,0
ccc_cloudy,1,0,0,0,0,0,0,0,0,0,0
dochi_(dosa_dosa_dosa),1,0,0,0,0,0,0,0,0,0,0
doutei_no_roran,0,0,0,0,1,1,0,0,0,0,0
ebora,0,0,0,0,0,1,0,0,0,0,0
harris_hero,1,0,0,0,0,0,0,0,0,0,0
hizuki_higure,0,0,0,0,0,1,0,0,0,0,0
ikamochi_kalong,0,0,0,0,0,1,0,0,0,0,0
ikelag,1,0,0,0,0,0,0,0,0,0,0
itou_tatsuya,1,0,0,0,0,0,0,0,0,0,0
jotmanlol,0,0,0,0,0,1,0,0,0,0,0
katase_aoko,1,0,0,0,0,0,0,0,0,0,0
kawa_kit,0,0,0,1,0,0,0,0,0,0,0
kinoshita_(user_vmwv4757),0,0,1,0,0,0,0,0,0,0,0
konoha_noa,1,0,0,0,0,0,0,0,0,0,0
kuzlin,1,0,0,0,0,0,0,0,0,0,0
kz_oji,0,0,0,0,0,1,0,0,0,0,0
lost_one_zero,1,0,0,0,0,0,0,0,0,0,0
luyheg,0,0,0,0,0,1,0,0,0,0,0
manekinekoko777,1,0,0,0,0,0,0,0,0,0,0
meeps123,1,0,0,0,0,0,0,0,0,0,0
merinthos,1,0,0,0,0,0,0,0,0,0,0
mizikayo,1,0,0,0,0,0,0,0,0,0,0
mokumokuren_(atariya_kyoushitsu),0,0,0,0,0,1,0,0,0,0,0
mrfoxy,1,0,0,0,0,0,0,0,0,0,0
mskmiro316_(voice_actor),1,0,0,0,0,0,0,0,0,0,0
mukanata,1,0,0,0,0,0,0,0,0,0,0
murabito_c,1,0,0,0,0,0,0,0,0,0,0
muunyan_(yumenekoya),0,0,0,0,0,0,1,1,0,0,0
myeu,1,0,0,0,0,0,0,0,0,0,0
nameless_ark,1,0,0,0,0,0,0,0,0,0,0
nanonanno,0,0,0,0,0,0,0,0,0,1,0
neneg,1,0,0,0,0,0,0,0,0,0,0
nironiro,0,0,0,0,0,1,0,0,0,0,0
noe_8ban,0,0,0,0,0,0,1,1,0,0,0
norio_(pheromosa_times),0,0,0,0,0,1,0,0,0,0,0
ogre_(illustogre),0,0,0,0,0,0,0,0,0,0,1
pap_paprika,1,0,0,0,0,0,0,0,0,0,0
rayasi,1,0,0,0,0,0,0,0,0,0,0
ryncka,0,0,0,0,0,1,0,0,0,0,0
ryunosu_(ryunosu1111),0,0,0,0,0,1,0,0,0,0,0
sakuragaoka_dr,0,0,0,0,0,1,0,0,0,0,0
sakurami_sumi,0,0,0,0,0,0,1,1,0,0,0
saltdrawyou,0,1,0,0,0,0,0,0,0,0,0
satou_kuuki,0,0,0,0,0,0,1,1,0,0,0
seoki_(hi3031),0,0,0,0,0,1,0,0,0,0,0
shippitsu,1,0,0,0,0,0,0,0,0,0,0
sos_adult,0,0,0,0,0,0,0,0,0,1,0
sub-res,0,0,0,0,0,1,0,0,0,0,0
sumiyao_(amam),1,0,0,0,0,0,0,0,0,0,0
tilt-shift_(azalanz),0,0,0,0,0,1,0,0,0,0,0
titi_titi,0,0,0,0,0,0,0,0,0,0,1
tnolize,0,0,0,0,0,1,0,0,0,0,0
ushikani_kassen,0,0,0,0,0,0,0,0,0,0,1
vahn_yourdoom,0,0,0,0,0,0,0,0,0,0,1
watashi_wa_chibi,1,0,0,0,0,0,0,0,0,0,0
xkzan,0,0,0,0,0,0,1,1,0,0,0
yoshi_tama,0,0,0,0,0,1,0,0,0,0,0
zetsu_red,1,0,0,0,0,0,0,0,0,0,0
zhadao_lza,0,0,0,0,0,1,0,0,0,0,0
ztyoho,0,0,1,0,0,0,0,0,0,0,0
